id;username;password;first_name;last_name;email;nombre_alumno;descripcion_proyecto;jwt_token;fecha_registro;name
1;than guacamole boring;overconfidently;María Teresa;Curiel Quintana;Jesus76@yahoo.com;carefully account;fold bin thoughtfully;mostly substitution;2025-11-12;indeed inasmuch
2;amongst muted;finally under;Patricio;Coronado Cisneros;Mercedes8@hotmail.com;oh;than after illustrious;alongside astride;2025-11-12;before
3;mixed;needily;María Luisa;Armijo Vela;Carles_GuevaraGarrido@gmail.com;keenly ouch follower;duffel yarmulke across;kookily;2025-11-12;ouch
4;uh-huh geez;er sparse;Octavio;Coronado Cantú;Emilia_RolonOrdonez@yahoo.com;uncomfortable psst;outside slimy likely;mmm;2025-11-12;huzzah inspection
5;considerate unlearn knickers;kosher observe whoa;Teresa;Velázquez Patiño;Victoria_NegronManzanares@gmail.com;procurement geez;mispronounce now zowie;yippee;2025-11-12;geez
6;delete how pro;which finally;Ángel;Linares Tijerina;Lucia.ChaconCarrillo@yahoo.com;yowza;repossess;fraudster pace notwithstanding;2025-11-12;ashamed barge ack
7;except;haul greatly rue;Clemente;Flórez Cabrera;Andres.MirandaGutierrez@gmail.com;whenever;alongside hm;shoot sediment ah;2025-11-12;nimble gloomy
8;well-made huzzah;pace;Emilia;Narváez Salinas;Joaquin15@gmail.com;faithfully as;instead;catalyze limply;2025-11-12;even pro fat
9;silk vastly than;adaptation off;Irene;Duarte Jaramillo;Gerardo91@yahoo.com;micromanage hose bar;rotten;dense ignorance glorious;2025-11-12;unfortunately gosh anti
10;aw produce failing;ah paintwork;Sara;Maya Torres;Matilde13@yahoo.com;when;next;ironclad now sugary;2025-11-12;knottily store sparkling
